affected_unit_ids,correction_type,evidence,id,prior_upstream_report_disposition,rationale,recorded_at,responsible_workflow,schema_name,schema_version,source_defect,status,supersedes_id,target_action,upstream_report_disposition
"[""unit.o018.lab.ch10""]",source_math_correction,"{""certificate"":""Untuk basis [x,y,s2], A_B^{-1}A_N=[[2,-1],[-1,1],[-3,1]], sehingga x_B=b'-A_N'x_N tepat mereproduksi kamus akhir."",""id"":""CORR-CH10-MATRIX-AN-SIGNS"",""source_location"":""authority chapter lines 509-515"",""target_location"":""translated chapter lines 501-522"",""type"":""source_math_correction""}",correction.o018.ch10.corr-ch10-matrix-an-signs,,"Untuk basis [x,y,s2], A_B^{-1}A_N=[[2,-1],[-1,1],[-3,1]], sehingga x_B=b'-A_N'x_N tepat mereproduksi kamus akhir.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Untuk basis [x,y,s2], A_B^{-1}A_N=[[2,-1],[-1,1],[-3,1]], sehingga x_B=b'-A_N'x_N tepat mereproduksi kamus akhir.",recorded,,preserved explicitly in the Indonesian edition or lab evidence,not_opened; no author contact during production
"[""unit.o018.lab.ch10""]",source_math_correction,"{""certificate"":""Dengan slack baru s1' pada Ax+s1'=b1+Delta, slack lama memenuhi s1=s1'-Delta; substitusi ini menghasilkan x=4+2Delta, y=5-Delta, s2=3-3Delta."",""id"":""CORR-CH10-RHS-B1-SLACK"",""source_location"":""authority chapter lines 214-215"",""target_location"":""translated chapter line 218"",""type"":""source_math_correction""}",correction.o018.ch10.corr-ch10-rhs-b1-slack,,"Dengan slack baru s1' pada Ax+s1'=b1+Delta, slack lama memenuhi s1=s1'-Delta; substitusi ini menghasilkan x=4+2Delta, y=5-Delta, s2=3-3Delta.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Dengan slack baru s1' pada Ax+s1'=b1+Delta, slack lama memenuhi s1=s1'-Delta; substitusi ini menghasilkan x=4+2Delta, y=5-Delta, s2=3-3Delta.",recorded,,preserved explicitly in the Indonesian edition or lab evidence,not_opened; no author contact during production
"[""unit.o018.lab.ch10""]",source_math_correction,"{""certificate"":""Dengan slack baru s3' pada Ax+s3'=b3+Delta, slack lama memenuhi s3=s3'-Delta; substitusi ini menghasilkan x=4-Delta, y=5+Delta, s2=3+Delta."",""id"":""CORR-CH10-RHS-B3-SLACK"",""source_location"":""authority chapter line 283"",""target_location"":""translated chapter line 286"",""type"":""source_math_correction""}",correction.o018.ch10.corr-ch10-rhs-b3-slack,,"Dengan slack baru s3' pada Ax+s3'=b3+Delta, slack lama memenuhi s3=s3'-Delta; substitusi ini menghasilkan x=4-Delta, y=5+Delta, s2=3+Delta.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Dengan slack baru s3' pada Ax+s3'=b3+Delta, slack lama memenuhi s3=s3'-Delta; substitusi ini menghasilkan x=4-Delta, y=5+Delta, s2=3+Delta.",recorded,,preserved explicitly in the Indonesian edition or lab evidence,not_opened; no author contact during production
"[""unit.o018.lab.ch11""]",source_math_correction,"{""certificate"":""Kasus minimisasi simetris yang sah adalah min b^T x dengan Ax>=c dan x>=0, berdual max c^T y dengan A^T y<=b dan y>=0; contoh satu variabel terkoreksi memberi 3=3, sedangkan bentuk lama memberi klaim 3<=0 yang salah."",""id"":""CORR-CH11-CASE2-GEQ"",""solver_checks"":[{""case"":""case2_corrected"",""maximum_violation"":0,""objective"":3,""point"":{""x1"":3},""purpose"":""independent_lp_corroboration"",""side"":""primal"",""solver"":""appsi_highs"",""status"":""ok"",""termination_condition"":""optimal"",""variant"":""nominal""},{""case"":""case2_corrected"",""maximum_violation"":0,""objective"":3,""point"":{""y1"":1},""purpose"":""independent_lp_corroboration"",""side"":""dual"",""solver"":""appsi_highs"",""status"":""ok"",""termination_condition"":""optimal"",""variant"":""nominal""}],""source_location"":""translated duality.tex lines 556-584; translated manual ch11.tex line 16"",""type"":""source_math_correction"",""verification"":{""corrected_dual_value"":3,""corrected_primal_value"":3,""old_form_weak_duality_counterexample"":""dual 3 tidak <= primal 0""}}",correction.o018.ch11.corr-ch11-case2-geq,,"Kasus minimisasi simetris yang sah adalah min b^T x dengan Ax>=c dan x>=0, berdual max c^T y dengan A^T y<=b dan y>=0; contoh satu variabel terkoreksi memberi 3=3, sedangkan bentuk lama memberi klaim 3<=0 yang salah.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Kasus minimisasi simetris yang sah adalah min b^T x dengan Ax>=c dan x>=0, berdual max c^T y dengan A^T y<=b dan y>=0; contoh satu variabel terkoreksi memberi 3=3, sedangkan bentuk lama memberi klaim 3<=0 yang salah.",recorded,,preserved explicitly in the Indonesian edition or lab evidence,not_opened; no author contact during production
"[""unit.o018.lab.ch11""]",source_wording_correction,"{""certificate"":""Titik (1,1) hanya kandidat: 2(1)+1=3<5, sehingga tidak layak dual; pasangan optimum adalah x=(3,2), y=(11/5,3/5), bernilai 23."",""id"":""CORR-CH11-EX11-13-CANDIDATE"",""solver_checks"":[],""source_location"":""translated complimentary-slackness.tex line 360; translated manual ch11.tex line 18"",""type"":""source_wording_correction"",""verification"":{""candidate_first_constraint_lhs"":3,""candidate_first_constraint_rhs"":5,""candidate_is_dual_feasible"":false,""correct_optimum"":23}}",correction.o018.ch11.corr-ch11-ex11-13-candidate,,"Titik (1,1) hanya kandidat: 2(1)+1=3<5, sehingga tidak layak dual; pasangan optimum adalah x=(3,2), y=(11/5,3/5), bernilai 23.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Titik (1,1) hanya kandidat: 2(1)+1=3<5, sehingga tidak layak dual; pasangan optimum adalah x=(3,2), y=(11/5,3/5), bernilai 23.",recorded,,preserved explicitly in the Indonesian edition or lab evidence,not_opened; no author contact during production
"[""unit.o018.lab.ch11""]",source_math_correction,"{""certificate"":""Pada maksimisasi campuran, kendala >= memberi pengali <=0, kendala <= memberi pengali >=0, dan variabel bebas memberi persamaan dual; contoh terkoreksi memiliki primal taklayak dan dual takterbatas."",""id"":""CORR-CH11-MIXED-SIGNS-FREE"",""solver_checks"":[{""case"":""complicated_corrected"",""maximum_violation"":null,""objective"":null,""point"":null,""purpose"":""independent_lp_corroboration"",""side"":""primal"",""solver"":""appsi_highs"",""status"":""error"",""termination_condition"":""infeasible"",""variant"":""corrected_signs""},{""case"":""complicated_corrected"",""maximum_violation"":null,""objective"":null,""point"":null,""purpose"":""independent_lp_corroboration"",""side"":""dual"",""solver"":""appsi_highs"",""status"":""error"",""termination_condition"":""unbounded"",""variant"":""corrected_signs""}],""source_location"":""translated duality.tex lines 902-1038; translated manual ch11.tex line 17"",""type"":""source_math_correction"",""verification"":{""dual_feasible_base_point"":[""3/2"",0,""1/2""],""dual_unbounded_ray"":[1,-2,3],""primal_x1_lower_bound"":""5/3"",""primal_x1_upper_bound"":""3/2"",""ray_objective_change"":-1}}",correction.o018.ch11.corr-ch11-mixed-signs-free,,"Pada maksimisasi campuran, kendala >= memberi pengali <=0, kendala <= memberi pengali >=0, dan variabel bebas memberi persamaan dual; contoh terkoreksi memiliki primal taklayak dan dual takterbatas.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Pada maksimisasi campuran, kendala >= memberi pengali <=0, kendala <= memberi pengali >=0, dan variabel bebas memberi persamaan dual; contoh terkoreksi memiliki primal taklayak dan dual takterbatas.",recorded,,preserved explicitly in the Indonesian edition or lab evidence,not_opened; no author contact during production
"[""unit.o018.lab.ch11""]",upstream_modeling_redundancy_defect,"{""certificate"":""Dari 4x1+6x2+4x3=240 dan x3>=0 diperoleh 6x1+9x2+8x3=(3/2)(240)+2x3=360+2x3>=360, sehingga kendala retail >=80 selalu redundan."",""confidence"":""high"",""id"":""UPSTREAM-DEFECT-CH11-EX11-17-RETAIL-REDUNDANT"",""source_location"":""translated complimentary-slackness.tex lines 539-570; translated manual ch11.tex lines 316-346"",""status"":""reported_not_modified"",""type"":""upstream_modeling_redundancy_defect""}",correction.o018.ch11.upstream-defect-ch11-ex11-17-retail-redundant,,"Dari 4x1+6x2+4x3=240 dan x3>=0 diperoleh 6x1+9x2+8x3=(3/2)(240)+2x3=360+2x3>=360, sehingga kendala retail >=80 selalu redundan.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Dari 4x1+6x2+4x3=240 dan x3>=0 diperoleh 6x1+9x2+8x3=(3/2)(240)+2x3=360+2x3>=360, sehingga kendala retail >=80 selalu redundan.",recorded,,preserved without source modification and recorded in local evidence only; not communicated upstream,not_opened; no author contact during production
"[""unit.o018.lab.ch11""]",upstream_theorem_completeness_defect,"{""certificate"":""Latihan 11.8 memberi primal dan dual yang sama-sama taklayak: penjumlahan kendala primal memaksa 0<=-2 dan penjumlahan kendala dual memaksa 0>=2."",""confidence"":""high"",""id"":""UPSTREAM-DEFECT-CH11-STRONG-DUALITY-OMITS-BOTH-INFEASIBLE"",""source_location"":""translated duality.tex lines 219-243; translated manual ch11.tex lines 156-158"",""status"":""reported_not_modified"",""type"":""upstream_theorem_completeness_defect""}",correction.o018.ch11.upstream-defect-ch11-strong-duality-omits-both-infeasible,,Latihan 11.8 memberi primal dan dual yang sama-sama taklayak: penjumlahan kendala primal memaksa 0<=-2 dan penjumlahan kendala dual memaksa 0>=2.,2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,Latihan 11.8 memberi primal dan dual yang sama-sama taklayak: penjumlahan kendala primal memaksa 0<=-2 dan penjumlahan kendala dual memaksa 0>=2.,recorded,,preserved without source modification and recorded in local evidence only; not communicated upstream,not_opened; no author contact during production
"[""unit.o018.lab.ch13""]",source_figure_data,"{""certificate"":""Titik poligon (8.5,0) dan (5,14) memenuhi pendapatan 68000, sedangkan 70% dari 96000 adalah 67200; perpotongan tepatnya (8.4,0) dan (34/7,496/35)."",""id"":""DEF-CH13-70PCT-FIGURE"",""source_location"":""bab otoritas baris 143--151 dan 179--185"",""type"":""source_figure_data""}",correction.o018.ch13.def-ch13-70pct-figure,,"Titik poligon (8.5,0) dan (5,14) memenuhi pendapatan 68000, sedangkan 70% dari 96000 adalah 67200; perpotongan tepatnya (8.4,0) dan (34/7,496/35).",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Titik poligon (8.5,0) dan (5,14) memenuhi pendapatan 68000, sedangkan 70% dari 96000 adalah 67200; perpotongan tepatnya (8.4,0) dan (34/7,496/35).",recorded,,preserved explicitly in the Indonesian edition or lab evidence,not_opened; no author contact during production
"[""unit.o018.lab.ch13""]",source_manual_alignment,"{""certificate"":""Buku memuat 11 latihan; manual memuat 10 dan melewatkan ex:lex-vs-weighted. Entri manual 13.10 menjawab ex:furniture-weights, yaitu latihan buku 13.11."",""id"":""DEF-CH13-MANUAL-OMISSION"",""source_location"":""urutan latihan bab otoritas dibandingkan inventaris exsol manual otoritas"",""type"":""source_manual_alignment""}",correction.o018.ch13.def-ch13-manual-omission,,"Buku memuat 11 latihan; manual memuat 10 dan melewatkan ex:lex-vs-weighted. Entri manual 13.10 menjawab ex:furniture-weights, yaitu latihan buku 13.11.",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.correction,0.1.0,"Buku memuat 11 latihan; manual memuat 10 dan melewatkan ex:lex-vs-weighted. Entri manual 13.10 menjawab ex:furniture-weights, yaitu latihan buku 13.11.",recorded,,preserved explicitly in the Indonesian edition or lab evidence,not_opened; no author contact during production
