id,name_en,prerequisite_concept_ids,recorded_at,responsible_workflow,schema_name,schema_version,status,supersedes_id
concept.absolute-value-linearization,absolute-value linearization,"[""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.alternate-optima,alternate optimal solutions,"[""concept.extreme-point-optimality"",""concept.level-curve""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.artificial-variable,artificial variable,"[""concept.standard-form""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.assignment-fairness,max-min and min-max assignment fairness,"[""concept.assignment-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.assignment-model,assignment model,"[""concept.binary-integer-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.basic-feasible-solution,basic feasible solution,"[""concept.standard-form"",""concept.linear-independence"",""concept.corner-point""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.basis-matrix,basis matrix,"[""concept.matrix-rank"",""concept.basic-feasible-solution""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.big-m-method,Big-M method,"[""concept.artificial-variable"",""concept.simplex-algorithm""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.big-m-modeling,Big-M modeling,"[""concept.mixed-integer-linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.binary-integer-programming,binary integer programming,"[""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.bland-rule,Bland's anti-cycling rule,"[""concept.cycling""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.canonical-form,canonical form relative to a basis,"[""concept.standard-form"",""concept.basic-feasible-solution""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.capital-allocation,capital-allocation model,"[""concept.knapsack-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.compact-indexed-modeling,compact indexed modeling,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.complementary-slackness,complementary slackness,"[""concept.strong-duality""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.computational-complexity,computational complexity,[],2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.conditional-formatting,conditional formatting,"[""concept.spreadsheet-modeling""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.constraint,constraint,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.convex-combination,convex combination,"[""concept.linear-combination""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.convex-optimization,convex optimization,"[""concept.nonlinear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.convex-set,convex set,"[""concept.convex-combination""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.corner-point,corner point,"[""concept.feasible-region"",""concept.linear-independence""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.cycling,simplex cycling,"[""concept.degeneracy"",""concept.simplex-algorithm""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.data-validation,spreadsheet data validation,"[""concept.spreadsheet-modeling""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.decision-variable,decision variable,"[""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.degeneracy,simplex degeneracy,"[""concept.basic-feasible-solution"",""concept.pivot-operation""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.diet-problem,diet problem,"[""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.dijkstra-algorithm,Dijkstra algorithm,"[""concept.shortest-path""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.dot-product,dot product,"[""concept.vector-operations""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.dual-formulation,dual formulation,"[""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.epsilon-constraint-method,epsilon-constraint method,"[""concept.pareto-optimality""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.euler-circuit,Euler circuit,"[""concept.graph-theory""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.excel-solver,Excel Solver workflow,"[""concept.spreadsheet-modeling"",""concept.optimization-model""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.expected-value-objective,expected-value objective,"[""concept.objective-function"",""concept.stochastic-optimization""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.extreme-point-optimality,extreme-point optimality,"[""concept.linear-programming"",""concept.feasible-region""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.facility-location,facility location,"[""concept.binary-integer-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.feasible-region,feasible region,"[""concept.constraint""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.fixed-charge-model,fixed-charge model,"[""concept.binary-integer-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.flow-balance-sign-convention,flow-balance sign convention,"[""concept.flow-conservation""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.flow-conservation,network flow conservation,"[""concept.graph-theory"",""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.gaussian-elimination,Gaussian elimination,"[""concept.row-operation""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.graph-coloring,graph coloring,"[""concept.graph-theory"",""concept.binary-integer-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.graph-theory,graph and directed-graph representation,[],2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.graphical-lp-method,graphical method for two-variable linear programming,"[""concept.linear-programming"",""concept.feasible-region""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.halfspace,halfspace,"[""concept.linear-programming"",""concept.convex-set""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.hamilton-circuit,Hamilton circuit,"[""concept.graph-theory""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.infeasible-linear-program,infeasible linear program,"[""concept.linear-programming"",""concept.feasible-region""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.integer-linear-programming,integer linear programming,"[""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.inventory-balance,inventory-balance model,"[""concept.decision-variable"",""concept.constraint""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.job-shop-scheduling,job-shop scheduling,"[""concept.mixed-integer-linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.knapsack-model,knapsack model,"[""concept.binary-integer-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.kruskal-algorithm,Kruskal algorithm,"[""concept.minimum-spanning-tree""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.learning-outcomes,learning outcomes,[],2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.level-curve,objective level curve,"[""concept.objective-function""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.lexicographic-optimization,lexicographic optimization,"[""concept.multiobjective-optimization""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.linear-combination,linear combination,"[""concept.vector-operations""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.linear-independence,linear independence,"[""concept.linear-combination""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.linear-programming,linear programming,"[""concept.decision-variable"",""concept.objective-function"",""concept.constraint""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.linear-system,system of linear equations,"[""concept.linear-combination""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.logical-binary-constraints,logical binary constraints,"[""concept.binary-integer-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.loss-function,loss function,[],2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.lp-modeling-assumptions,linear-programming modeling assumptions,"[""concept.linear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.machine-learning-optimization,optimization in machine learning,"[""concept.nonlinear-programming""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.mathematical-programming,mathematical programming,"[""concept.operations-research""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
concept.matrix-arithmetic,matrix arithmetic,"[""concept.vector-operations""]",2026-08-23T00:00:00+02:00,codex-r017-o018-id-production,interlanguage.concept,0.1.0,active,
