additional_rights_component_ids,alignment_mode,asset_ids,code_data_refs,concept_ids,content_hash_guard,design_questions,edition_id,id,locale,order,parent_id,prerequisite_concept_ids,provenance,recorded_at,required_parameters,resource_id,responsible_workflow,rights_component_id,schema_name,schema_version,source_book_label,source_bytes,source_content_sha256,source_environment,source_file_sha256,source_line,source_line_end,source_local_id,source_locale,source_path,source_target_relationship,starred,status,supersedes_id,target_block_alignment_overrides,target_content_sha256,target_environment,target_hash_guard,target_line,target_line_end,target_local_id,target_locale,target_only_blocks,target_path,title_source,title_target,topology_order_path,topology_path,translation_state,unit_type
"[""rights.o018.code"",""rights.pyomo.runtime"",""rights.highspy.runtime"",""rights.numpy.runtime""]",,,,,,,edition.o018.id-id.draft,unit.o018.lab,id-ID,1,,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,,,,,,source_frozen,,,,,,,,,,,,Free/Open-Solver Laboratory,Laboratorium Pemecah Terbuka O018,[1],"[""unit.o018.lab""]",source_frozen,laboratory
,,"[""asset.o018.license-code"",""dependency.pyomo"",""dependency.highs"",""dependency.numpy""]","[""o018-open-solver-lab/LICENSE-CODE.txt"",""authority/runtime-licenses/MANIFEST.csv"",""authority/runtime-wheels/MANIFEST.csv""]","[""concept.open-source-solver"",""concept.reproducible-computation""]",pass,,edition.o018.id-id.draft,unit.o018.lab.attribution,id-ID,2,unit.o018.lab,,locally authored primary derivative content with explicit source-adaptation relation,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,1679,8d5f4230ee521ad30b3eb60aa49b0c8ed967a49f7e0769789a402d290d9b5e4c,,,,,,id-ID,o018-open-solver-lab/ATTRIBUTION.md,,,source_frozen,,,,,,,,,,,,,,"[1,2]","[""unit.o018.lab"",""unit.o018.lab.attribution""]",source_frozen,attribution
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation""]",,,edition.o018.id-id.draft,unit.o018.lab.attribution.heading-001,id-ID,1,unit.o018.lab.attribution,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,03dc071d7418b1118ee89532ac9af8cea39cafb42b19638113ad47448fe2fb91,,,1,1,,id-ID,o018-open-solver-lab/ATTRIBUTION.md,,,source_frozen,,,,,,,,,,,,Atribusi dan hak komponen,,"[1,2,1]","[""unit.o018.lab"",""unit.o018.lab.attribution"",""unit.o018.lab.attribution.heading-001""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation""]",,,edition.o018.id-id.draft,unit.o018.lab.attribution.heading-002,id-ID,2,unit.o018.lab.attribution.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,4030fac1fcf37351e3ce468bb00b4b6d9b5bb2f06997cf4f191ec635e33d8f91,,,3,3,,id-ID,o018-open-solver-lab/ATTRIBUTION.md,,,source_frozen,,,,,,,,,,,,Soal dan model sumber,,"[1,2,1,2]","[""unit.o018.lab"",""unit.o018.lab.attribution"",""unit.o018.lab.attribution.heading-001"",""unit.o018.lab.attribution.heading-002""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation""]",,,edition.o018.id-id.draft,unit.o018.lab.attribution.heading-003,id-ID,3,unit.o018.lab.attribution.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,ed9178ff7a813fa34b92a644442c5ea5644f297800df6b927e3b2644fba71868,,,17,17,,id-ID,o018-open-solver-lab/ATTRIBUTION.md,,,source_frozen,,,,,,,,,,,,Kode laboratorium,,"[1,2,1,3]","[""unit.o018.lab"",""unit.o018.lab.attribution"",""unit.o018.lab.attribution.heading-001"",""unit.o018.lab.attribution.heading-003""]",source_frozen,section
,,,,"[""concept.open-source-solver"",""concept.reproducible-computation""]",,,edition.o018.id-id.draft,unit.o018.lab.attribution.heading-004,id-ID,4,unit.o018.lab.attribution.heading-001,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,07ba83ec5e4ed6f60d2c29fd30b6535810da46360660082c2bb7e7ff0132e60e,,,23,23,,id-ID,o018-open-solver-lab/ATTRIBUTION.md,,,source_frozen,,,,,,,,,,,,Runtime pihak ketiga,,"[1,2,1,4]","[""unit.o018.lab"",""unit.o018.lab.attribution"",""unit.o018.lab.attribution.heading-001"",""unit.o018.lab.attribution.heading-004""]",source_frozen,section
"[""rights.o018.code""]",,,,"[""concept.inventory-balance"",""concept.linear-programming"",""concept.integer-linear-programming"",""concept.reproducible-computation"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch01-shirt-ordering,id-ID,3,unit.o018.lab,"[""concept.decision-variable"",""concept.objective-function"",""concept.constraint""]",,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,ex:shirt-full-lp,,,,,source_frozen,,,,,,,,,,,,Shirt ordering model,Model pemesanan kaus,"[1,3]","[""unit.o018.lab"",""unit.o018.lab.ch01-shirt-ordering""]",source_frozen,computational_lab
,,,,"[""concept.integer-linear-programming"",""concept.inventory-balance"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch01-shirt-ordering.integer,id-ID,2,unit.o018.lab.ch01-shirt-ordering,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.code,interlanguage.unit,0.1.0,,,,,,,,,,,,,source_frozen,,,,,,,,,,,,Nonnegative-integer mode,Mode bilangan bulat nonnegatif,"[1,3,2]","[""unit.o018.lab"",""unit.o018.lab.ch01-shirt-ordering"",""unit.o018.lab.ch01-shirt-ordering.integer""]",source_frozen,executable_mode
,,,,"[""concept.linear-programming"",""concept.inventory-balance"",""concept.open-source-solver""]",,,edition.o018.id-id.draft,unit.o018.lab.ch01-shirt-ordering.lp,id-ID,1,unit.o018.lab.ch01-shirt-ordering,,,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.code,interlanguage.unit,0.1.0,,,,,,,,,,,,,source_frozen,,,,,,,,,,,,Continuous linear-programming mode,Mode pemrograman linear kontinu,"[1,3,1]","[""unit.o018.lab"",""unit.o018.lab.ch01-shirt-ordering"",""unit.o018.lab.ch01-shirt-ordering.lp""]",source_frozen,executable_mode
"[""rights.o018.code"",""rights.pyomo.runtime"",""rights.highspy.runtime"",""rights.numpy.runtime""]",,,,"[""concept.open-source-solver"",""concept.reproducible-computation"",""concept.spreadsheet-modeling"",""concept.sensitivity-analysis""]",,,edition.o018.id-id.draft,unit.o018.lab.ch03-spreadsheet-replacements,id-ID,4,unit.o018.lab,"[""concept.linear-programming"",""concept.integer-linear-programming"",""concept.nonlinear-programming""]",,2026-08-23T00:00:00+02:00,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,interlanguage.unit,0.1.0,,,,,,,,,,,,,verified,,,,,,,,,,,,Chapter 3 spreadsheet replacement laboratory,Laboratorium pengganti lembar kerja Bab 3,"[1,4]","[""unit.o018.lab"",""unit.o018.lab.ch03-spreadsheet-replacements""]",source_frozen,computational_lab_collection
