active_source_references,asset_type,authority_inventory_bytes,authority_inventory_sha256,authority_witness_target_presence,current_public_source_package_presence,distribution_disposition,edition_id,existing_backend_record,extras_installed,format_classification,frozen_bytes,frozen_path,frozen_sha256,id,localized_derivative_target_presence,machine_backend_evidence_artifact_id,name,o018_pyomo_highs,platform_classification,proprietary_runtime_required_for_r017_workflow,recorded_at,redistribution_status,replacement_asset_ids,resource_id,responsible_workflow,rights_component_id,runtime,runtime_closure_disposition,runtime_closure_evidence_artifact_id,runtime_dependencies,runtime_dependency_ids,schema_name,schema_version,source_bytes,source_content_sha256,source_linkage,source_path,status,supersedes_id,target_bytes,target_content_sha256,target_hash_guard,target_path,version,visualization_runtime_closure_role,wheel_artifact_id,witness_kind
,external_source_csv_data,,,,,,edition.external.ooor-examples.b924d2fe,,,,163,authority/external/open-optimization-or-examples-b924d2fe61ee0ba925903aba615db4f46e65b4be/integer-programming/school_bus_data.csv,8caa2666672c507cf1317fcf87c2c66e2a1705c914573a6b87c80dfca5119817,asset.external.school-bus-data,,,,,,,2026-08-23T00:00:00+02:00,,,resource.external.open-optimization-or-examples,codex-r017-o018-id-production,rights.external.ooor-examples-policy,,,,,,interlanguage.asset,0.1.0,,,,,verified_with_caveat,,,,,,,,,
,markdown_attribution,,,,,,edition.o018.id-id.draft,,,,,,,asset.o018.attribution,,,,,,,2026-08-23T00:00:00+02:00,,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,,,,,,interlanguage.asset,0.1.0,,,,,source_frozen,,1679,8d5f4230ee521ad30b3eb60aa49b0c8ed967a49f7e0769789a402d290d9b5e4c,pass,o018-open-solver-lab/ATTRIBUTION.md,,,,
,markdown_attribution,,,,,,edition.o018.id-id.draft,,,,,,,asset.o018.ch03.attribution,,,,,,,2026-08-23T00:00:00+02:00,,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,,,,,,interlanguage.asset,0.1.0,,,,,verified,,2285,bd2d0bfeb0be156586e9e91e2ce7eb8ebdffa635aa1dea5e5c765f3e9999476f,pass,o018-open-solver-lab/ch03-spreadsheet-replacements/ATTRIBUTION.md,,,,
,model_data_json,,,,,,edition.o018.id-id.draft,,,,,,,asset.o018.ch03.data,,,,,,,2026-08-23T00:00:00+02:00,,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,,,,,,interlanguage.asset,0.1.0,,,,,verified,,7670,6096489a90dfeadd8b3ef03ee6c9bfee42231049f4a0676c09bd220cbfa31294,pass,o018-open-solver-lab/ch03-spreadsheet-replacements/data.json,,,,
,expected_results_json,,,,,,edition.o018.id-id.draft,,,,,,,asset.o018.ch03.expected-results,,,,,,,2026-08-23T00:00:00+02:00,,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,,,,,,interlanguage.asset,0.1.0,,,,,verified,,3196,ea5da4600c98fc29ab6edfdf726adbd0bfa2a3b04405b2c4a950b8287362c63b,pass,o018-open-solver-lab/ch03-spreadsheet-replacements/expected-results.json,,,,
,license_text,,,,,,edition.o018.id-id.draft,,,,,,,asset.o018.ch03.license-code,,,,,,,2026-08-23T00:00:00+02:00,,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.code,,,,,,interlanguage.asset,0.1.0,,,,,verified,,1091,3af65c07da546f32647333f84eb682f040ed45cabfa14ce5e1650f6a67f00ceb,pass,o018-open-solver-lab/ch03-spreadsheet-replacements/LICENSE-CODE.txt,,,,
,python_model,,,,,,edition.o018.id-id.draft,,,,,,,asset.o018.ch03.model,,,,,,,2026-08-23T00:00:00+02:00,,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.code,,,,,,interlanguage.asset,0.1.0,,,,,verified,,20711,272adfae143bade540a702078e7ad7a34bbea36cba551a298c8ed2c02fed916c,pass,o018-open-solver-lab/ch03-spreadsheet-replacements/model.py,,,,
,markdown_primary_content,,,,,,edition.o018.id-id.draft,,,,,,,asset.o018.ch03.readme,,,,,,,2026-08-23T00:00:00+02:00,,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,,,,,,interlanguage.asset,0.1.0,,,,,verified,,5602,d1bfc1b01762cecd7cad0d6da824eab08e522e6b1b182170578210c1d56045df,pass,o018-open-solver-lab/ch03-spreadsheet-replacements/README.md,,,,
,computed_results_json,,,,,,edition.o018.id-id.draft,,,,,,,asset.o018.ch03.results,,,,,,,2026-08-23T00:00:00+02:00,,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.prose-data,,,,,,interlanguage.asset,0.1.0,,,,,verified,,7239,54a1cd703958ec880e653354b67b3bb0629014343159884c5a05d63725170ede,pass,o018-open-solver-lab/ch03-spreadsheet-replacements/results.json,,,,
,python_entrypoint,,,,,,edition.o018.id-id.draft,,,,,,,asset.o018.ch03.runner,,,,,,,2026-08-23T00:00:00+02:00,,,resource.o018.open-solver-lab,codex-r017-o018-id-production,rights.o018.code,,,,,,interlanguage.asset,0.1.0,,,,,verified,,1733,8fee1464a2e6d156faf0ba9cc31d9195ec18d2cb2dead864beaf66ed8cf2f690,pass,o018-open-solver-lab/ch03-spreadsheet-replacements/run_lab.py,,,,
