additional_notice_file,additional_notice_sha256,attribution_required,changes_disclosed,compatibility_note,component_scope,evidence_artifact_id,evidence_unit_id,id,license_expression,license_file,license_file_sha256,license_manifest,license_manifest_sha256,non_endorsement,recorded_at,redistributed,responsible_workflow,schema_name,schema_version,share_alike_required,status,supersedes_id,third_party_status
,,true,true,The pinned examples tree has no repository-local license or grant. The frozen primary project-policy authority assigns code and Excel models to MIT and expressive content/data to CC BY-SA 4.0; mixed notebooks retain both notices. Publication must preserve this provenance caveat.,"pinned Open Optimization example notebooks, Excel models, and data linked from active Book 1 source",artifact.external.ooor-examples-authority-manifest,,rights.external.ooor-examples-policy,MIT AND CC-BY-SA-4.0,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,true,verified_with_caveat,,project_policy_without_repository_local_license
,,true,false,"The exact build input is hash-bound and bibliographic attribution is preserved entry-by-entry; no repository-local license file was present, so the backend records this bounded caveat rather than inferring a license.",external open-optimization-bibliography references.bib build dependency,,,rights.external.open-optimization-bibliography-caveat,LicenseRef-No-Repository-License-Found,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,,verified_with_caveat,,included_external_bibliographic_metadata_without_repository_local_license
,,,true,,external proprietary runtime; not redistributed,,,rights.external.proprietary,LicenseRef-Proprietary-External,,,,,true,2026-08-23T00:00:00+02:00,false,codex-r017-o018-id-production,interlanguage.right,0.1.0,,external_dependency,,external_not_redistributed
,,true,false,,pinned Pyomo Gallery transport notebook and its direct companion closure,artifact.external.pyomo-gallery-authority-manifest,,rights.external.pyomo-gallery,BSD-3-Clause,authority/external/pyomo-gallery-0c00b58439b6465cb30b9bf806519b1ade228ecc/LICENSE.md,a213fcc752f2a8d2d63b275198522b7423126670914a4001756e1589869fc279,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,false,verified,,third_party_external_source
authority/runtime-licenses/highspy-1.15.1/THIRD_PARTY_NOTICES.md,52979632c5d3cc026f36730eae2b112ace72eb2f0792feb0591036e9c16e4aee,true,false,"The standard highspy wheel excludes HiPO extras. Preserve the full notice for CLI11 (BSD-3-Clause-like), pdqsort (Zlib), and zstr (MIT); amd, metis, and rcm notices concern expressly avoidable HIPO=OFF components. Do not describe the complete closure as MIT-only.",highspy/HiGHS 1.15.1 standard wheel and bundled third-party notices,,,rights.highspy.runtime,MIT AND LicenseRef-HiGHS-Third-Party-Notices,authority/runtime-licenses/highspy-1.15.1/LICENSE.txt,dd4cdc98726c5657e39129be5bc4c1c452e8e242325807f99aeaa38605af1ca4,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,false,verified,,third_party_runtime
,,true,false,The manifest freezes the primary license and all 16 additional packaged license files; preserve the full set.,NumPy 2.5.2 frozen runtime wheel and its complete packaged license set,,,rights.numpy.runtime,BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0,authority/runtime-licenses/numpy-2.5.2/LICENSE.txt,a804dff0ead9fadc5293456410bcbfc32bf024be9c4513459663fb7b442d2341,authority/runtime-licenses/MANIFEST.csv,71451702ae6d014eb1e59fbd8ac950fa9f26b0bab47661817b5fe65daf41b329,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,false,verified,,third_party_runtime
,,true,true,,"new O018 Python code, tests, runner, and dependency lock configuration",,unit.o018.lab.attribution,rights.o018.code,MIT,source/o018-open-solver-lab/LICENSE-CODE.txt,3af65c07da546f32647333f84eb682f040ed45cabfa14ce5e1650f6a67f00ceb,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,false,verified,,new_derivative_workflow_code
,,true,true,,"O018 adapted prose, attribution, problem data, expected results, and computed result data",,unit.o018.lab.attribution,rights.o018.prose-data,CC-BY-SA-4.0,authority/upstream/open-optimization-or-book-1745df89b608899f66983834fa4ec8c8910d18ff/LICENSE-Content,5e436ff8ffbb77d8607220e9bce20c8915d860010feeb6c1ebef5a85688e9b39,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,true,verified,,separately_attributed_derivative
,,true,false,The package metadata identifies BSD-3-Clause; the complete frozen LICENSE.md also carries additional notices and must be preserved.,Pyomo 6.10.1 frozen runtime wheel and bundled notices,,,rights.pyomo.runtime,BSD-3-Clause AND LicenseRef-Pyomo-Additional-Notices,authority/runtime-licenses/pyomo-6.10.1/LICENSE.md,a57ea3ac2d2dec65238989c17c7f4839481b9810bcec159c7977eac55fc75e69,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,false,verified,,third_party_runtime
,,true,true,,"Python, Excel model files, and build/code components",,,rights.r017.code,MIT,authority/upstream/open-optimization-or-book-1745df89b608899f66983834fa4ec8c8910d18ff/LICENSE-Code,cf0ed20e761f6d583f137d13d803733f4a9b5362521d0d1d28a223962167819f,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,false,verified,,first_party_upstream
,,true,true,,"original textbook prose, formulas, and original figures",,,rights.r017.content,CC-BY-SA-4.0,authority/upstream/open-optimization-or-book-1745df89b608899f66983834fa4ec8c8910d18ff/LICENSE-Content,5e436ff8ffbb77d8607220e9bce20c8915d860010feeb6c1ebef5a85688e9b39,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,true,verified,,first_party_upstream
,,true,true,,adapted linear programming notes,,unit.r017.book1.sources,rights.thirdparty.bish,CC-BY-SA-4.0,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,true,source_notice_preserved,,third_party
,,true,true,,adapted Linear Inequalities and Linear Programming material,,unit.r017.book1.sources,rights.thirdparty.cheung,CC-BY-SA-4.0,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,true,source_notice_preserved,,third_party
,,true,true,"The pinned attribution names CC BY 3.0 US, retains the source and authors, and records the adapter's-license provision used for the CC BY-SA 4.0 edition; the exact source notice remains included.",adapted Foundations of Applied Mathematics material,,unit.r017.book1.sources,rights.thirdparty.foundations,CC-BY-3.0-US,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,false,verified_from_pinned_attribution,,third_party
authority/upstream/open-optimization-or-book-1745df89b608899f66983834fa4ec8c8910d18ff/Intro-Math-Programming/baseText/optimization/figures/figures-static/00_METADATA.bib,d4aea30cb180732126f81989096b35ff938447fe6df9ae0ed408c592c9664aed,true,true,,wiki-File-knapsack.png illustration used in the introductory integer-programming chapter,,,rights.thirdparty.knapsack-wikimedia,CC-BY-SA-2.5,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,true,verified_from_upstream_metadata,,third_party_static_figure
authority/upstream/open-optimization-or-book-1745df89b608899f66983834fa4ec8c8910d18ff/Intro-Math-Programming/baseText/book/frontmatter/sources-attribution.tex,959514a382acfdce47cc3ea8ae2ca69f9744ba01da12e39a9e5396919adaaf41,true,true,,Konigsberg_bridges.png historical map used in the graph-algorithms chapter,,,rights.thirdparty.konigsberg-wikimedia,CC-BY-SA-3.0,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,true,verified_from_source_attribution,,third_party_static_figure
,,true,true,,adapted Math in Society graph-theory material and figures,,unit.r017.book1.sources,rights.thirdparty.lippman,CC-BY-SA-3.0-US,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,true,source_notice_preserved,,third_party
,,true,true,,Math in Society graph presentation and annotation over Sam Beebe's Pleasant View aerial photograph,,unit.r017.book1.sources,rights.thirdparty.lippman-sam-beebe,CC-BY-SA-3.0-US AND CC-BY-2.0,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,true,source_notice_preserved,,third_party_compound
,,true,true,,adapted A First Course in Linear Algebra material,,unit.r017.book1.sources,rights.thirdparty.lyryx-kuttler,CC-BY-4.0,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,false,source_notice_preserved,,third_party
authority/upstream/open-optimization-or-book-1745df89b608899f66983834fa4ec8c8910d18ff/Intro-Math-Programming/baseText/optimization/figures/figures-static/00_METADATA.bib,d4aea30cb180732126f81989096b35ff938447fe6df9ae0ed408c592c9664aed,false,true,,wiki-File-Petersen-graph-3-coloring.png figure used in the integer-programming chapter,,,rights.thirdparty.petersen-public-domain,LicenseRef-Public-Domain,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,false,verified_from_upstream_metadata,,third_party_public_domain_static_figure
,,true,true,,adapted Applied Finite Mathematics material,,unit.r017.book1.sources,rights.thirdparty.sekhon-bloom,CC-BY-4.0,,,,,true,2026-08-23T00:00:00+02:00,,codex-r017-o018-id-production,interlanguage.right,0.1.0,false,source_notice_preserved,,third_party
